title,copies_sold,genre,developer,publisher,as_of,release_date
The Legend of Zelda: Link's Awakening,6080000.0,Action-adventure,Grezzo,Nintendo,2021-12-31,2019-09-20
Kirby and the Forgotten Land,5270000.0,Platformer,HAL Laboratory,Nintendo,2022-09-30,2022-03-25
Mario Tennis Aces,4280000.0,Sports,Camelot Software Planning,Nintendo,2021-12-31,2018-06-22
Clubhouse Games: 51 Worldwide Classics,4220000.0,Tabletop game,NDcube,Nintendo,2022-03-31,2020-06-05
Donkey Kong Country: Tropical Freeze,4120000.0,Platformer,Retro Studios,Nintendo,2021-12-31,2018-05-04
Hyrule Warriors: Age of Calamity,4000000.0,Hack and slash,Omega Force,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}JP: Koei TecmoNA/PAL: Nintendo",2022-01-04,2020-11-20
Kirby Star Allies,3980000.0,Platformer,HAL Laboratory,Nintendo,2021-12-31,2018-03-16
The Legend of Zelda: Skyward Sword HD,3910000.0,Action-adventure,Tantalus Media,Nintendo,2022-03-31,2021-07-16
Fire Emblem: Three Houses,3820000.0,Tactical role-playing,Intelligent SystemsKoei Tecmo,Nintendo,2021-12-31,2019-07-26
1-2-Switch,3630000.0,Party,Nintendo EPD,Nintendo,2021-12-31,2017-03-03
"Momotaro Dentetsu: Showa, Heisei, Reiwa Mo Teiban!",3500000.0,Board game,Konami,JP: Konami,2022-03-22,2020-11-19
Paper Mario: The Origami King,3340000.0,Role-playingaction-adventure,Intelligent Systems,Nintendo,2021-12-31,2020-07-17
Minecraft,3310000.0,Sandboxsurvival,Mojang,JP: Xbox Game StudiosNA/PAL: Mojang,2022-10-22,2017-05-11
Among Us,3200000.0,Partysocial deduction,Innersloth,Innersloth,2020-12-31,2020-12-15
Yoshi's Crafted World,3010000.0,Platformer,Good-Feel,Nintendo,2021-12-31,2019-03-29
Metroid Dread,2900000.0,Action-adventure,MercurySteamNintendo EPD,Nintendo,2022-03-31,2021-10-08
New Pokémon Snap,2740000.0,Photography,Bandai Namco Studios,JP: The Pokémon CompanyNA/PAL: Nintendo,2022-05-15,2021-04-30
Arms,2660000.0,Fighting,Nintendo EPD,Nintendo,2021-12-31,2017-06-16
Xenoblade Chronicles 2,2440000.0,Action role-playing,Monolith Soft,Nintendo,2021-12-31,2017-12-01
Mario Golf: Super Rush,2350000.0,Sports,Camelot Software Planning,Nintendo,2022-03-31,2021-06-25
Pikmin 3 Deluxe,2230000.0,Real-time strategypuzzle,Nintendo EPDEighting,Nintendo,2021-12-31,2020-10-30
Mario Strikers: Battle League,2170000.0,Sports,Next Level Games,Nintendo,2022-09-30,2022-06-10
Octopath Traveler,2160000.0,Role-playing,Square EnixAcquire,JP: Square EnixNA/PAL: Nintendo,2022-01-02,2018-07-13
Captain Toad: Treasure Tracker,2130000.0,Action puzzle,Nintendo EPD,Nintendo,2021-12-31,2018-07-13
Dragon Ball FighterZ,2009999.9999999998,Fighting,Arc System Works,Bandai Namco Entertainment,2021-12-31,2018-09-27
Mario + Rabbids Kingdom Battle,2000000.0,Tactical role-playing,Ubisoft ParisUbisoft Milan,NA/PAL: UbisoftJP/KOR: Nintendo[18],2018-09-02,2017-08-29
Pokémon Mystery Dungeon: Rescue Team DX,1890000.0,Roguelike,Spike Chunsoft,Nintendo,2021-12-31,2020-03-06
Taiko no Tatsujin: Drum 'n' Fun!,1890000.0,Rhythm,Bandai Namco Studios,Bandai Namco Entertainment,2021-12-31,2018-07-19
Xenoblade Chronicles 3,1720000.0,Action role-playing,Monolith Soft,Nintendo,2022-09-30,2022-07-29
Miitopia,1680000.0,Role-playing,Grezzo,Nintendo,2022-03-31,2021-05-21
Xenoblade Chronicles: Definitive Edition,1680000.0,Action role-playing,Monolith Soft,Nintendo,2021-12-31,2020-05-29
Big Brain Academy: Brain vs. Brain,1590000.0,Puzzle,Nintendo EPD,Nintendo,2022-03-31,2021-12-03
Mario Kart Live: Home Circuit,1580000.0,Kart racingaugmented reality,Velan Studios,Nintendo,2021-12-31,2020-10-16
Dragon Ball Xenoverse 2,1550000.0,Fighting,Dimps,Bandai Namco Entertainment,2021-12-31,2017-09-07
Pokkén Tournament DX,1540000.0,Fighting,Bandai Namco Studios,JP: The Pokémon CompanyNA/PAL: Nintendo,2022-01-02,2017-09-22
Marvel Ultimate Alliance 3: The Black Order,1500000.0,Action role-playing,Team Ninja,Nintendo,2021-12-31,2019-07-19
Nintendo Labo Toy-Con 01: Variety Kit,1420000.0,Construction kit,Nintendo EPD,Nintendo,2020-12-31,2018-04-20
Astral Chain,1280000.0,"Action-adventure, Hack and Slash",PlatinumGames,Nintendo,2021-12-31,2019-08-30
WarioWare: Get It Together!,1270000.0,Party,Nintendo EPDIntelligent Systems,Nintendo,2022-03-31,2021-09-10
Naruto Shippudden: Ultimate Ninja Storm Trilogy,1260000.0,Fighting,CyberConnect2,Bandai Namco Entertainment,2021-12-31,2017-07-27
Dr Kawashima's Brain Training for Nintendo Switch,1200000.0,Puzzle,"Nintendo EPD, indieszero",Nintendo,2021-12-31,2019-12-27
Resident Evil: Revelations Collection,1200000.0,Survival horror,Capcom,Capcom,2022-06-30,2017-11-27
Game Builder Garage,1060000.0,Programming,Nintendo EPD,Nintendo,2022-03-31,2021-06-11
Bayonetta 2,1040000.0,"Action-adventure, Hack and Slash",PlatinumGames,Nintendo,2021-12-31,2018-02-16
Enter the Gungeon,1000000.0,Bullet hell,Dodge Roll,Devolver Digital,2019-03-03,2017-12-14
Fire Emblem Warriors: Three Hopes,1000000.0,Hack and slashRole-playing,Omega Force,JP: Koei TecmoNA/PAL: Nintendo,2022-08-17,2022-06-24
Fitness Boxing,1000000.0,Exergamerhythm,Imagineer,JP: ImagineerNA/PAL: Nintendo,2020-09-08,2018-12-20
Fitness Boxing 2: Rhythm and Exercise,1000000.0,Exergamerhythm,Imagineer,JP: ImagineerNA/PAL: Nintendo,2021-12-09,2020-12-04
Shin Megami Tensei V,1000000.0,Role-playing,Atlus,JP: AtlusNA: SegaPAL: Nintendo,2022-04-18,2021-11-11
Story of Seasons: Pioneers of Olive Town,1000000.0,Simulationrole-playing,Marvelous,Xseed Games,2021-11-18,2021-02-25
Thief Simulator,1000000.0,Stealth,Noble Muffins,Forever Entertainment,2021-07-16,2019-05-19
