Country,Capital,Continent
Macau,Concelho de Macau,Asia
Madagascar,Antananarivo,Africa
Malawi,Lilongwe,Africa
Malaysia,Kuala Lumpur,Asia
Maldives,Mal??,Asia
Mali,Bamako,Africa
Malta,Valletta,Europe
Marshall Islands,Majuro,Oceania
Martinique,Fort-de-France,North America
Mauritania,Nouakchott,Africa
Mauritius,Port Louis,Africa
Mayotte,Mamoudzou,Africa
Mexico,Mexico City,North America
Micronesia,Palikir,Oceania
Moldova,Chisinau,Europe
Monaco,Monaco,Europe
Mongolia,Ulaanbaatar,Asia
Montenegro,Podgorica,Europe
Montserrat,Brades,North America
Morocco,Rabat,Africa
Mozambique,Maputo,Africa
Myanmar,Nay Pyi Taw,Asia
Namibia,Windhoek,Africa
Nauru,Yaren,Oceania
Nepal,Kathmandu,Asia
Netherlands,Amsterdam,Europe
New Caledonia,Noum??a,Oceania
New Zealand,Wellington,Oceania
Nicaragua,Managua,North America
Niger,Niamey,Africa
Nigeria,Abuja,Africa
Niue,Alofi,Oceania
North Korea,Pyongyang,Asia
North Macedonia,Skopje,Europe
Northern Mariana Islands,Saipan,Oceania
Norway,Oslo,Europe
Oman,Muscat,Asia
Pakistan,Islamabad,Asia
Palau,Ngerulmud,Oceania
Palestine,Ramallah,Asia
Panama,Panama City,North America
Papua New Guinea,Port Moresby,Oceania
Paraguay,Asunci??n,South America
Peru,Lima,South America
Philippines,Manila,Asia
Poland,Warsaw,Europe
Portugal,Lisbon,Europe
Puerto Rico,San Juan,North America
Qatar,Doha,Asia
Republic of the Congo,Brazzaville,Africa
Reunion,Saint-Denis,Africa
Romania,Bucharest,Europe
Russia,Moscow,Europe
Rwanda,Kigali,Africa
Saint Barthelemy,Gustavia,North America
Saint Kitts and Nevis,Basseterre,North America
Saint Lucia,Castries,North America
Saint Martin,Marigot,North America
Saint Pierre and Miquelon,Saint-Pierre,North America
Saint Vincent and the Grenadines,Kingstown,North America
Samoa,Apia,Oceania
San Marino,San Marino,Europe
Sao Tome and Principe,S?�o Tom??,Africa
Saudi Arabia,Riyadh,Asia
Senegal,Dakar,Africa
Serbia,Belgrade,Europe
Seychelles,Victoria,Africa
Sierra Leone,Freetown,Africa
Singapore,Singapore,Asia
Sint Maarten,Philipsburg,North America
Slovakia,Bratislava,Europe
Slovenia,Ljubljana,Europe
Solomon Islands,Honiara,Oceania
Somalia,Mogadishu,Africa
South Africa,Pretoria,Africa
South Korea,Seoul,Asia
South Sudan,Juba,Africa
Spain,Madrid,Europe
Sri Lanka,Colombo,Asia
Sudan,Khartoum,Africa
Suriname,Paramaribo,South America
Sweden,Stockholm,Europe
Switzerland,Bern,Europe
Syria,Damascus,Asia
Taiwan,Taipei,Asia
Tajikistan,Dushanbe,Asia
Tanzania,Dodoma,Africa
Thailand,Bangkok,Asia
Timor-Leste,Dili,Asia
Togo,Lom??,Africa
Tokelau,Nukunonu,Oceania
Tonga,Nuku�??alofa,Oceania
Trinidad and Tobago,Port-of-Spain,North America
Tunisia,Tunis,Africa
Turkey,Ankara,Asia
Turkmenistan,Ashgabat,Asia
Turks and Caicos Islands,Cockburn Town,North America
Tuvalu,Funafuti,Oceania
Uganda,Kampala,Africa
Ukraine,Kiev,Europe
United Arab Emirates,Abu Dhabi,Asia
United Kingdom,London,Europe
United States,"Washington, D.C.",North America
United States Virgin Islands,Charlotte Amalie,North America
Uruguay,Montevideo,South America
Uzbekistan,Tashkent,Asia
Vanuatu,Port-Vila,Oceania
Vatican City,Vatican City,Europe
Venezuela,Caracas,South America
Vietnam,Hanoi,Asia
Wallis and Futuna,Mata-Utu,Oceania
Western Sahara,El Aai?�n,Africa
Yemen,Sanaa,Asia
Zambia,Lusaka,Africa
Zimbabwe,Harare,Africa
